出場団体名,審査員A,審査員B,審査員C,審査員D,審査員E
女声合唱団「松」 【同声】,13,1,21,19,21
TAMA STAR SINGERS 【室内】,14,2,20,20,1
小田原少年少女合唱隊 【同声】,15,3,19,21,2
合唱団リベルテ 【室内】,16,4,18,1,3
アンサンブル藤沢 【室内】,17,5,17,2,4
しずく 【室内】,18,6,16,3,5
マルベリー・クワイア 【室内】,19,7,15,4,6
富士通川崎合唱団 【混声】,20,8,1,5,7
ユース松林 【室内】,21,9,2,6,8
かながわフリーダム・シンガーズ 【室内】,1,10,3,7,9
横浜ルミナス・コール 【混声】,2,11,4,8,10
緑フラウエンコール 【同声】,3,12,5,9,11
La Pura Fuente 【室内】,4,13,6,10,12
SB合唱団 【室内】,5,14,7,11,13
合唱団たまとも 【室内】,6,15,8,12,14
朝日カルチャー横浜女声コーラス 【室内】,7,16,9,13,15
合唱団LAｂ 【室内】,8,17,10,14,16
合唱団VOCK 【室内】,9,18,11,15,17
コール・キリエ 【混声】,10,19,12,16,18
桐蔭学園「桐響会」 【同声】,11,20,13,17,19
マルベリー・チェンバークワイア 【同声】,12,21,14,18,20
