"順位","審査員A","審査員B","審査員C","審査員D","審査員E","総合順位"
1,"かながわフリーダム・シンガーズ 【室内】","女声合唱団「松」 【同声】","富士通川崎合唱団 【混声】","合唱団リベルテ 【室内】","TAMA STAR SINGERS 【室内】","合唱団リベルテ 【室内】"
2,"横浜ルミナス・コール 【混声】","TAMA STAR SINGERS 【室内】","ユース松林 【室内】","アンサンブル藤沢 【室内】","小田原少年少女合唱隊 【同声】","アンサンブル藤沢 【室内】"
3,"緑フラウエンコール 【同声】","小田原少年少女合唱隊 【同声】","かながわフリーダム・シンガーズ 【室内】","しずく 【室内】","合唱団リベルテ 【室内】","しずく 【室内】"
4,"La Pura Fuente 【室内】","合唱団リベルテ 【室内】","横浜ルミナス・コール 【混声】","マルベリー・クワイア 【室内】","アンサンブル藤沢 【室内】","マルベリー・クワイア 【室内】"
5,"SB合唱団 【室内】","アンサンブル藤沢 【室内】","緑フラウエンコール 【同声】","富士通川崎合唱団 【混声】","しずく 【室内】","富士通川崎合唱団 【混声】"
6,"合唱団たまとも 【室内】","しずく 【室内】","La Pura Fuente 【室内】","ユース松林 【室内】","マルベリー・クワイア 【室内】","ユース松林 【室内】"
7,"朝日カルチャー横浜女声コーラス 【室内】","マルベリー・クワイア 【室内】","SB合唱団 【室内】","かながわフリーダム・シンガーズ 【室内】","富士通川崎合唱団 【混声】","かながわフリーダム・シンガーズ 【室内】"
8,"合唱団LAｂ 【室内】","富士通川崎合唱団 【混声】","合唱団たまとも 【室内】","横浜ルミナス・コール 【混声】","ユース松林 【室内】","横浜ルミナス・コール 【混声】"
9,"合唱団VOCK 【室内】","ユース松林 【室内】","朝日カルチャー横浜女声コーラス 【室内】","緑フラウエンコール 【同声】","かながわフリーダム・シンガーズ 【室内】","緑フラウエンコール 【同声】"
10,"コール・キリエ 【混声】","かながわフリーダム・シンガーズ 【室内】","合唱団LAｂ 【室内】","La Pura Fuente 【室内】","横浜ルミナス・コール 【混声】","La Pura Fuente 【室内】"
11,"桐蔭学園「桐響会」 【同声】","横浜ルミナス・コール 【混声】","合唱団VOCK 【室内】","SB合唱団 【室内】","緑フラウエンコール 【同声】","SB合唱団 【室内】"
12,"マルベリー・チェンバークワイア 【同声】","緑フラウエンコール 【同声】","コール・キリエ 【混声】","合唱団たまとも 【室内】","La Pura Fuente 【室内】","合唱団たまとも 【室内】"
13,"女声合唱団「松」 【同声】","La Pura Fuente 【室内】","桐蔭学園「桐響会」 【同声】","朝日カルチャー横浜女声コーラス 【室内】","SB合唱団 【室内】","朝日カルチャー横浜女声コーラス 【室内】"
14,"TAMA STAR SINGERS 【室内】","SB合唱団 【室内】","マルベリー・チェンバークワイア 【同声】","合唱団LAｂ 【室内】","合唱団たまとも 【室内】","合唱団LAｂ 【室内】"
15,"小田原少年少女合唱隊 【同声】","合唱団たまとも 【室内】","マルベリー・クワイア 【室内】","合唱団VOCK 【室内】","朝日カルチャー横浜女声コーラス 【室内】","合唱団VOCK 【室内】"
16,"合唱団リベルテ 【室内】","朝日カルチャー横浜女声コーラス 【室内】","しずく 【室内】","コール・キリエ 【混声】","合唱団LAｂ 【室内】","コール・キリエ 【混声】"
17,"アンサンブル藤沢 【室内】","合唱団LAｂ 【室内】","アンサンブル藤沢 【室内】","桐蔭学園「桐響会」 【同声】","合唱団VOCK 【室内】","桐蔭学園「桐響会」 【同声】"
18,"しずく 【室内】","合唱団VOCK 【室内】","合唱団リベルテ 【室内】","マルベリー・チェンバークワイア 【同声】","コール・キリエ 【混声】","マルベリー・チェンバークワイア 【同声】"
19,"マルベリー・クワイア 【室内】","コール・キリエ 【混声】","小田原少年少女合唱隊 【同声】","女声合唱団「松」 【同声】","桐蔭学園「桐響会」 【同声】","女声合唱団「松」 【同声】"
20,"富士通川崎合唱団 【混声】","桐蔭学園「桐響会」 【同声】","TAMA STAR SINGERS 【室内】","TAMA STAR SINGERS 【室内】","マルベリー・チェンバークワイア 【同声】","TAMA STAR SINGERS 【室内】"
21,"ユース松林 【室内】","マルベリー・チェンバークワイア 【同声】","女声合唱団「松」 【同声】","小田原少年少女合唱隊 【同声】","女声合唱団「松」 【同声】","小田原少年少女合唱隊 【同声】"
